dataset,method,original_instances,reduced_instances,reduction_percent,output_csv
circle_clean,cnn,400,258,35.5,reduced_csv\circle_clean_cnn_reduced.csv
circle_clean,enn,400,397,0.75,reduced_csv\circle_clean_enn_reduced.csv
circle_clean,renn,400,396,1.0,reduced_csv\circle_clean_renn_reduced.csv
circle_clean,tomek,400,399,0.25,reduced_csv\circle_clean_tomek_reduced.csv
circle_clean,drop3,400,30,92.5,reduced_csv\circle_clean_drop3_reduced.csv
circle_clean,psc,400,27,93.25,reduced_csv\circle_clean_psc_reduced.csv
circle_noisy,cnn,400,335,16.25,reduced_csv\circle_noisy_cnn_reduced.csv
circle_noisy,enn,400,345,13.75,reduced_csv\circle_noisy_enn_reduced.csv
circle_noisy,renn,400,343,14.25,reduced_csv\circle_noisy_renn_reduced.csv
circle_noisy,tomek,400,380,5.0,reduced_csv\circle_noisy_tomek_reduced.csv
circle_noisy,drop3,400,27,93.25,reduced_csv\circle_noisy_drop3_reduced.csv
circle_noisy,psc,400,72,82.0,reduced_csv\circle_noisy_psc_reduced.csv
complex_clean,cnn,400,299,25.25,reduced_csv\complex_clean_cnn_reduced.csv
complex_clean,enn,400,370,7.5,reduced_csv\complex_clean_enn_reduced.csv
complex_clean,renn,400,370,7.5,reduced_csv\complex_clean_renn_reduced.csv
complex_clean,tomek,400,391,2.25,reduced_csv\complex_clean_tomek_reduced.csv
complex_clean,drop3,400,34,91.5,reduced_csv\complex_clean_drop3_reduced.csv
complex_clean,psc,400,55,86.25,reduced_csv\complex_clean_psc_reduced.csv
complex_noisy,cnn,400,360,10.0,reduced_csv\complex_noisy_cnn_reduced.csv
complex_noisy,enn,400,320,20.0,reduced_csv\complex_noisy_enn_reduced.csv
complex_noisy,renn,400,315,21.25,reduced_csv\complex_noisy_renn_reduced.csv
complex_noisy,tomek,400,375,6.25,reduced_csv\complex_noisy_tomek_reduced.csv
complex_noisy,drop3,400,35,91.25,reduced_csv\complex_noisy_drop3_reduced.csv
complex_noisy,psc,400,103,74.25,reduced_csv\complex_noisy_psc_reduced.csv
moons_clean,cnn,400,212,47.0,reduced_csv\moons_clean_cnn_reduced.csv
moons_clean,enn,400,400,0.0,reduced_csv\moons_clean_enn_reduced.csv
moons_clean,renn,400,400,0.0,reduced_csv\moons_clean_renn_reduced.csv
moons_clean,tomek,400,400,0.0,reduced_csv\moons_clean_tomek_reduced.csv
moons_clean,drop3,400,12,97.0,reduced_csv\moons_clean_drop3_reduced.csv
moons_clean,psc,400,12,97.0,reduced_csv\moons_clean_psc_reduced.csv
moons_noisy,cnn,400,217,45.75,reduced_csv\moons_noisy_cnn_reduced.csv
moons_noisy,enn,400,396,1.0,reduced_csv\moons_noisy_enn_reduced.csv
moons_noisy,renn,400,396,1.0,reduced_csv\moons_noisy_renn_reduced.csv
moons_noisy,tomek,400,396,1.0,reduced_csv\moons_noisy_tomek_reduced.csv
moons_noisy,drop3,400,12,97.0,reduced_csv\moons_noisy_drop3_reduced.csv
moons_noisy,psc,400,18,95.5,reduced_csv\moons_noisy_psc_reduced.csv
radial_clean,cnn,400,292,27.0,reduced_csv\radial_clean_cnn_reduced.csv
radial_clean,enn,400,379,5.25,reduced_csv\radial_clean_enn_reduced.csv
radial_clean,renn,400,376,6.0,reduced_csv\radial_clean_renn_reduced.csv
radial_clean,tomek,400,395,1.25,reduced_csv\radial_clean_tomek_reduced.csv
radial_clean,drop3,400,43,89.25,reduced_csv\radial_clean_drop3_reduced.csv
radial_clean,psc,400,53,86.75,reduced_csv\radial_clean_psc_reduced.csv
radial_noisy,cnn,400,358,10.5,reduced_csv\radial_noisy_cnn_reduced.csv
radial_noisy,enn,400,310,22.5,reduced_csv\radial_noisy_enn_reduced.csv
radial_noisy,renn,400,305,23.75,reduced_csv\radial_noisy_renn_reduced.csv
radial_noisy,tomek,400,366,8.5,reduced_csv\radial_noisy_tomek_reduced.csv
radial_noisy,drop3,400,43,89.25,reduced_csv\radial_noisy_drop3_reduced.csv
radial_noisy,psc,400,106,73.5,reduced_csv\radial_noisy_psc_reduced.csv
sine_wave_clean,cnn,400,352,12.0,reduced_csv\sine_wave_clean_cnn_reduced.csv
sine_wave_clean,enn,400,390,2.5,reduced_csv\sine_wave_clean_enn_reduced.csv
sine_wave_clean,renn,400,387,3.25,reduced_csv\sine_wave_clean_renn_reduced.csv
sine_wave_clean,tomek,400,399,0.25,reduced_csv\sine_wave_clean_tomek_reduced.csv
sine_wave_clean,drop3,400,32,92.0,reduced_csv\sine_wave_clean_drop3_reduced.csv
sine_wave_clean,psc,400,41,89.75,reduced_csv\sine_wave_clean_psc_reduced.csv
